,text,label
1,1000 अंकले घटेको नेप्से 200 अंकले बढ्नु ठूलो कुरो होइन अझै पनि किन्ने अवसर छ है।,1
4,राम्रो भयो️️,1
6,जानकारीको लागि धन्यवाद रामहरी ब्रदर,1
18,"भारत-मधेस र नेपाल-चीन सम्बन्ध विग्रन्छ, मधेसी नेता अरू दलको भरिया : डा.राजेश अहिराज",0
25,"लेखनाथ न्यौपानेको खुलासा,महाधिबेशनमा एमसीसीको कुरा गर्नेलाई जुत्ताको माला लगाएर कालो मोसो दलिन्छ ।",0
28,जे गरेपनि एमसीसीले संकट निम्ताउने देखियो' | Gebate With Nimesh Banjade | Surendra Pandey | EP 47,0
34,यो भ्रस्टाचारि लाई किन येति घमण्ड ?? ७० करोड को पर्दाफास हुदा नि येति धेरै आत्मबल्😡,0
36,👉️ ७० करोडको अझै कति धेरै चुरिफुरी छ थुक्क हाम्रो देशका नैतिकता नभका चोर नेताहरू 😠😠,0
38,जसले जे सुकै भनेपनि गोकुल बास्कोटा  काभ्रेको बाद्साह हुन।✊✊✊,1
39,यो मान्छेको थोप्डा देख्यो कि खोपडी गरम हुने म मात्र होला कि के हो?,0
42,औषधिमा भ्रष्टाचार गर्ने यो महा पापी हो।,0
43,म यहाँ dislike गर्न र यो मान्छेलाई बहिस्कार गर्न मात्र आएको हो। येस्ता भ्रस्टाचारी नेताहरु सबैलाई सामाजिक संजालबाट सधैको लागि  बहिस्कार गरओ।,0
44,गोकुलजीले भनिसके त - भ्रस्टाचार गरेको रहेछ भने भन्नेहरुकै सबथोक छ छानबिन गरि प्रमाणिात गरेर देखाए भइहाल्यो नि!,1
46,स्वच्छ र असल राजनीति गरौं ।,1
47,समृद्ध नेपाल निर्माण गरौं ।🇳🇵🇳🇵,1
49,भ्रष्टाचारिलाई किन अन्तरबार्ता लिएको होला,0
50,चोरले म चोर हुँ कदापि भन्दैन लाज पचेको ७० करोड वलिको पुच्छरको चुरिफुरी देख्दा उदेक लाग्छ,0
51,विना स्वार्थ लोभ लालच सबै कम्युनिस्ट एकता जरुरी छ देशका लागि।,1
52,गोकुल काकालाई मान्नैपर्छ बा। ७० करोडको टेप नक्कली रे। दिउसै रात पार्ने मान्छेहरुको नै बोलबाल छ देशमा। कति लाजै नमानी भन्न सकेको हो भने,0
53,"७० करोड चोर I आफु चोर होइन भने किन राजिनामा सुरुक्क देको त् ? माग्ने बेलामा ७० करोड माग्ने चोर ,अईले आएर नकली भोइस हो रे I",0
54,नेपाली समाज हुइयाॅको पछाडी दौडने समाजबाट कहिले माथि उठ्ने होला!,0
56,"यिनले  प्रश्न उठे पछी राजिनामा दियो रे, नैतिकता देखायो, साची नै यिनी सहि रहेछन् भने यिनका के पि ले नैतिक्ता बेचेकै रहेछ भन्ने कुरो यिनैले प्रमानित गरेछन्् ।",0
57,धन्यवाद 🙏,1
58,100% खाकोई हो 70 करोड छाती थोकेर भन्छु   किनकी खाली पुस्ती गर पुस्ती गर भन्छ,0
59,"70 करोडको दम्ब अझै हेर्नु 😡😡😡😡,, कुन नेपाली जनताको कुरा??? तिमीहरूको भुस्सेहरु नेपाली जनताहरु होइन!!!!!",0
60,अाफु पदमा हुदा नियम कानुन अनुसासन नचाहिने अरूमा हुनु पर्ने साला गाेरू,0
61,"हिजो दुइ तिहाइ को घमण्ड गर्नेको बाहिरिय पछीको रोदन हो ! बिचरा यो उखाने पार्टी ले केहि गर्नु सकेन अहिले अरुले गर्दछु भन्दा रोक्ने सहयोग नगर्ने अनि कसरी हुनछ देशमा बिकास ? अहिले अाएर ठिक लाग्यो सहि हो धमला सर ,",0
62,यो देस बाट सम्सोदिय ब्यबस्था नै खारेज गर्नु जरुरी छ । हैन भने देस को हालत सधै यस्तै रहन्छ ।,0
63,नैतिकता हराएको मान्छे,0
64,जसले जे भनोस गोकुले काका राम्रो नेता हुन्,1
65,रिसाउने मात्रै होइन कुट्न पर्ने हो यदि घोटाला नै गर्या भए कारबाही गरे भैगो नत्र बारम्बार टचर कस्ले सहन्छ,0
68,माननीय ज्यु बोलिमा परिवर्तन हुनुपर्छ।,1
70,७०कराेड ताेपकाे सलामि छ बाेर्राे।,1
71,यस्तै नेतालाई हो नि चोर आयो भन्ने गाउँ घर तिर,0
74,mcc नेपालीको  लागि रामराे हाे ,1
75,सहि हो कुरा।,1
76,प्रचण्ड देशका रोग नै हुन ।,0
77,के ७० करोड भन्छौ नालायक हो तेस्ता किलिप्स प्रसारण गर्ने पत्रुकार ऐले नेपाली काङ्ग्रेस को केन्द्रिय सदस्य भको छ साला सब चुतिया हुन,0
78,सबै भन्दा खराब नेता गोकुल हुन,0
80,यो चोर लाई देख्यो त दिमाग तातियेर आउछ 😡😡😡,0
81,जबरजस्तीको कुरा गर्छ यार ।,0
82,यस्ता वहियात नेतालाइ ल्यार किन समय खेर फाल्नु हुन्छ धमला जि।छि छि,0
83,याे गाेकुलेलाई हराउनुपर्छ,0
84,जति सकिन्छ सफाई दिउँ ।,1
85,प्रस्न गर्नै जान्दैन हो यो धमला जी ले,0
86,चोरको अन्तर्वार्ता आएछ ७० करोड चोर भुसडी😁,0
87,70 कारोड चोरको फेरि आगमन भएको रहेछ म त भन्छु गोकुल चोर देश छोड।,0
88,बुडो गोरु जठौ  भीरमा जाऊ । थुक्क मेरो देशको नेता लाज पचेका बिदेशी डलरबादी देश पुरै धरशयमा पारिसक्यो ।,0
89,जेजे भए पनि यो मान्छे को कुरा सुन्दा मजा आउछ 🤪🤪🤪🤪🤪🤪,1
91,यो 70 करोड गोकुले ओलीले गर्दा खुप चुरी फुरी गरिरहेको छ लाज सरम नभएको,0
92,"काभ्रेका बादसाह, एमालेको ताकत- गोकुल दाइको कुरा सुन्न मजा आउछ",1
94,70 करोड भ्रष्टाचारि केपि को पुच्छर,0
95,जस्ले जति सुकै भनेनि गाेकुल बमस्काेटालाई मैले माने,1
102,७० करोडलाई बोल्न पनि लाज लाग्दै बा,0
103,७० करोड धिक्कार तिम्रो विचार मुर्दावाद,0
105,यो रिशी धमलालाई लाजै छैन यार 1000 पटक राजेन्द्र लिङ्देललाई ल्याउ न यार अरु नेताहरुलाई नल्याउ के यार दाइ,0
106,छिछिछिछि यस्तो नालायक लाई पनि के ल्याएकाे हाेला यार हेर्ने लाई पनि दिक्क । खै ७० कराेड कता गयाे । याे ले पनि के माधवकुमार शीत दाज्न मिल्छ। ऋषि सरले पनि यस्तो लाई ल्याएर अाफ्नाे खुट्टामा अाफै बन्चरो हान्दै हुनुहुन्छ है।,1
107,गोकुल को राज निति चहि कता,1
108,70 करोडको चुरीफुरी यत्रो ?,1
109,"सब थोक गाली गर्छन् अहीले ,भोली आन्द्रा जोडछन् मुलाहरु",1
110,गोकुल बा ले आज चाहि यो हावा धमला को सातो खायो,1
112,मान्छे कोल्याप्स गदिनु परो,0
114,दलाल भगाउ देश बचाउ,0
116,यो नालायक ७० करोड कता बाट आयो,0
117,यो भतुवा 70 करोडलाई किन बेला बेला मा बोलाउछन मिडिया मा?,0
118,सहि कुरा,0
122,चोरै हो। 🤨,0
123,भरष्ट चारिका खलक हरु कति चुनाब चुनाब भनेको हो,0
128,भ्रष्टाचारि डाका।,0
129,70 करोड डाका काई को।,0
131,जो चोर उसैको ठुलो सोर चुतिया ७० करोड,0
133,फेरि यसको बर्वरोट सुरु भयो 😅😅😅😅😅,0
138,चोर आयो !,0
139,लाज सरम छैन चोर लाई,0
140,गकुल 70  खरब चोर हो,0
142,चोर डाका,0
143,"थूक्क यस्ता खुराफाती  खड्केको  हलिहरु लाइ पनि मिडियामा स्थान दिने? कोहि नपाएर ?   खड्केको  हलि , प्रतिगामीको मतियार भएर क्रान्तिकारीसँग जोरी नखोज्",0
147,"सन्सार कै पहिलो नकचरो ,७० करोड प्रमाण सहित आउदा पनि यति धेरै घमण्ड । भ्रष्ट लाई के सजाय हुनुपर्छ भन्नुस साथी हो ?",0
148,म पनि dislike गर्न मात्र आकी हुं।,0
150,यो फटाहा लाई बोलाएर के छलफल गरेको होला,0
151,हेहेहे पागल साले 70 करोड मुजि यस्लाइ भेट्न् पाए,0
154,लाजपचेको ७० करोड,0
158,मेरो खातामा एक बोरा हाल्दिनुसत गोकुले चोर,0
159,"गोकुल बास्कोटा ले सिधा एन्सर दिन्छ, अरु नेता जस्तो चिप्लो ‌धस्दैन। तेसैले मन पर्छ।",1
160,70 करोडको मुसो,0
161,नेताहरु भ्रष्टाचार गर्छन जनताको छोराछोरी बिदेशमा रुदै बस्नु परेको छ नेताहचै खान्छन??,0
162,70 डाका,0
164,यो मुजि 70 करोड लाई किन ल्याउनु हो मुजि धमला,0
166,तेरिमा ७०,0
168,यस कि मा डाका चोर फटाहा गोक्कुले,0
172,अब को चुनाव मा यो गु बास्कोटालाई काभ्रेली जनताले भोट दिएर जिताए भने काभ्रेको जिल्लाको 100 वर्ष सम्म विकास हुँदैन,0
173,अनलाइन मनोरञ्जन,1
